"","pathway_name","complex_ID","pathway_ID","top_level_pathway_ID","top_level_pathway_name","species"
"234","Collagen formation",NA,NA,NA,NA,NA
"235","Common Pathway of Fibrin Clot Formation","R-HSA-114618","R-HSA-140875","R-HSA-109582","Hemostasis","Homo sapiens (Human)"
"236","Complement cascade",NA,NA,NA,NA,NA
"237","Complex I biogenesis","R-HSA-163929","R-HSA-6799198","R-HSA-1430728","Metabolism","Homo sapiens (Human)"
"238","Condensation of Prometaphase Chromosomes","R-HSA-157456","R-HSA-2514853","R-HSA-1640170","Cell Cycle","Homo sapiens (Human)"
"239","Condensation of Prophase Chromosomes","R-HSA-1638144","R-HSA-2299718","R-HSA-1640170","Cell Cycle","Homo sapiens (Human)"
"240","Constitutive Signaling by Aberrant PI3K in Cancer","R-HSA-1045152","R-HSA-2219530","R-HSA-1643685","Disease","Homo sapiens (Human)"
"241","Constitutive Signaling by AKT1 E17K in Cancer","R-HSA-198626","R-HSA-5674400","R-HSA-1643685","Disease","Homo sapiens (Human)"
"242","Constitutive Signaling by EGFRvIII","R-HSA-109783","R-HSA-5637810","R-HSA-1643685","Disease","Homo sapiens (Human)"
"243","Constitutive Signaling by Ligand-Responsive EGFR Cancer Variants","R-HSA-109783","R-HSA-1236382","R-HSA-1643685","Disease","Homo sapiens (Human)"
"244","Constitutive Signaling by NOTCH1 HD Domain Mutants","R-HSA-1852620","R-HSA-2691232","R-HSA-1643685","Disease","Homo sapiens (Human)"
"245","Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants","R-HSA-157343","R-HSA-2894862","R-HSA-1643685","Disease","Homo sapiens (Human)"
"246","Constitutive Signaling by NOTCH1 PEST Domain Mutants","R-HSA-157343","R-HSA-2644606","R-HSA-1643685","Disease","Homo sapiens (Human)"
"247","Constitutive Signaling by Overexpressed ERBB2","R-HSA-109783","R-HSA-9634285","R-HSA-1643685","Disease","Homo sapiens (Human)"
"248","Conversion from APC/C:Cdc20 to APC/C:Cdh1 in late anaphase","R-HSA-174081","R-HSA-176407","R-HSA-1640170","Cell Cycle","Homo sapiens (Human)"
"249","Cooperation of PDCL (PhLP1) and TRiC/CCT in G-protein beta folding","R-HSA-201711","R-HSA-6814122","R-HSA-392499","Metabolism of proteins","Homo sapiens (Human)"
"250","Cooperation of Prefoldin and TriC/CCT  in actin and tubulin folding",NA,NA,NA,NA,NA
"251","COPI-dependent Golgi-to-ER retrograde traffic","R-HSA-1015869","R-HSA-6811434","R-HSA-5653656","Vesicle-mediated transport","Homo sapiens (Human)"
"252","COPI-independent Golgi-to-ER retrograde traffic","R-HSA-190509","R-HSA-6811436","R-HSA-5653656","Vesicle-mediated transport","Homo sapiens (Human)"
"253","COPI-mediated anterograde transport","R-HSA-190509","R-HSA-6807878","R-HSA-392499","Metabolism of proteins","Homo sapiens (Human)"
"254","COPI-mediated anterograde transport","R-HSA-190509","R-HSA-6807878","R-HSA-5653656","Vesicle-mediated transport","Homo sapiens (Human)"
"255","COPII-mediated vesicle transport","R-HSA-203975","R-HSA-204005","R-HSA-392499","Metabolism of proteins","Homo sapiens (Human)"
"256","COPII-mediated vesicle transport","R-HSA-203975","R-HSA-204005","R-HSA-5653656","Vesicle-mediated transport","Homo sapiens (Human)"
"257","Costimulation by the CD28 family",NA,NA,NA,NA,NA
"258","Creatine metabolism","R-HSA-200339","R-HSA-71288","R-HSA-1430728","Metabolism","Homo sapiens (Human)"
"259","Creation of C4 and C2 activators",NA,NA,NA,NA,NA
"260","CREB1 phosphorylation through NMDA receptor-mediated activation of RAS signaling",NA,NA,NA,NA,NA
"261","CREB1 phosphorylation through the activation of Adenylate Cyclase","R-HSA-111922","R-HSA-442720","R-HSA-112316","Neuronal System","Homo sapiens (Human)"
"262","CREB1 phosphorylation through the activation of CaMKII/CaMKK/CaMKIV cascasde","R-HSA-111904","R-HSA-442729","R-HSA-112316","Neuronal System","Homo sapiens (Human)"
"263","Cristae formation","R-HSA-1252247","R-HSA-8949613","R-HSA-1852241","Organelle biogenesis and maintenance","Homo sapiens (Human)"
"264","CRMPs in Sema3A signaling","R-HSA-399838","R-HSA-399956","R-HSA-1266738","Developmental Biology","Homo sapiens (Human)"
"265","Cross-presentation of soluble exogenous antigens (endosomes)","R-HSA-1236923","R-HSA-1236978","R-HSA-168256","Immune System","Homo sapiens (Human)"
"266","Crosslinking of collagen fibrils","R-HSA-2002434","R-HSA-2243919","R-HSA-1474244","Extracellular matrix organization","Homo sapiens (Human)"
"267","CS/DS degradation","R-HSA-1605656","R-HSA-2024101","R-HSA-1430728","Metabolism","Homo sapiens (Human)"
"268","CTLA4 inhibitory signaling",NA,NA,NA,NA,NA
"269","CTNNB1 S33 mutants aren't phosphorylated","R-HSA-195250","R-HSA-5358747","R-HSA-1643685","Disease","Homo sapiens (Human)"
"270","CTNNB1 S37 mutants aren't phosphorylated","R-HSA-195250","R-HSA-5358749","R-HSA-1643685","Disease","Homo sapiens (Human)"
"271","CTNNB1 S45 mutants aren't phosphorylated","R-HSA-195250","R-HSA-5358751","R-HSA-1643685","Disease","Homo sapiens (Human)"
"272","CTNNB1 T41 mutants aren't phosphorylated","R-HSA-195250","R-HSA-5358752","R-HSA-1643685","Disease","Homo sapiens (Human)"
"273","Cyclin A:Cdk2-associated events at S phase entry","R-HSA-1226089","R-HSA-69656","R-HSA-1640170","Cell Cycle","Homo sapiens (Human)"
"274","Cyclin A/B1/B2 associated events during G2/M transition","R-HSA-1363265","R-HSA-69273","R-HSA-1640170","Cell Cycle","Homo sapiens (Human)"
"275","Cyclin D associated events in G1","R-HSA-113844","R-HSA-69231","R-HSA-1640170","Cell Cycle","Homo sapiens (Human)"
"276","Cyclin E associated events during G1/S transition ","R-HSA-1226089","R-HSA-69202","R-HSA-1640170","Cell Cycle","Homo sapiens (Human)"
"277","CYP2E1 reactions",NA,NA,NA,NA,NA
"278","Cytochrome c-mediated apoptotic response",NA,NA,NA,NA,NA
"279","Cytochrome P450 - arranged by substrate type","R-HSA-8957351","R-HSA-211897","R-HSA-1430728","Metabolism","Homo sapiens (Human)"
"280","Cytokine Signaling in Immune system",NA,NA,NA,NA,NA
"281","Cytoprotection by HMOX1","R-ALL-9865384","R-HSA-9707564","R-HSA-8953897","Cellular responses to stimuli","General (all species)"
"282","Cytoprotection by HMOX1","R-HSA-1250285","R-HSA-9707564","R-HSA-8953897","Cellular responses to stimuli","Homo sapiens (Human)"
"283","Cytosolic iron-sulfur cluster assembly","R-HSA-1369041","R-HSA-2564830","R-HSA-1430728","Metabolism","Homo sapiens (Human)"
"284","Cytosolic sensors of pathogen-associated DNA ","R-HSA-1964436","R-HSA-1834949","R-HSA-168256","Immune System","Homo sapiens (Human)"
"285","Cytosolic sulfonation of small molecules","R-HSA-158473","R-HSA-156584","R-HSA-1430728","Metabolism","Homo sapiens (Human)"
"286","Cytosolic tRNA aminoacylation","R-HSA-379557","R-HSA-379716","R-HSA-392499","Metabolism of proteins","Homo sapiens (Human)"
"287","DAG and IP3 signaling","R-HSA-169696","R-HSA-1489509","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"288","DAP12 interactions","R-HSA-198911","R-HSA-2172127","R-HSA-168256","Immune System","Homo sapiens (Human)"
"289","DAP12 signaling","R-HSA-109783","R-HSA-2424491","R-HSA-168256","Immune System","Homo sapiens (Human)"
"290","DARPP-32 events","R-HSA-111922","R-HSA-180024","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"291","DCC mediated attractive signaling","R-HSA-182921","R-HSA-418885","R-HSA-1266738","Developmental Biology","Homo sapiens (Human)"
"292","DDX58/IFIH1-mediated induction of interferon-alpha/beta","R-COV-9694702","R-HSA-168928","R-HSA-168256","Immune System","Human SARS coronavirus"
"293","DDX58/IFIH1-mediated induction of interferon-alpha/beta","R-HSA-1221657","R-HSA-168928","R-HSA-168256","Immune System","Homo sapiens (Human)"
"294","Deactivation of the beta-catenin transactivating complex","R-HSA-3299548","R-HSA-3769402","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"295","Deadenylation of mRNA","R-ALL-8960056","R-HSA-429947","R-HSA-8953854","Metabolism of RNA","General (all species)"
"296","Deadenylation of mRNA","R-HSA-429882","R-HSA-429947","R-HSA-8953854","Metabolism of RNA","Homo sapiens (Human)"
"297","Deadenylation-dependent mRNA decay",NA,NA,NA,NA,NA
"298","Death Receptor Signalling",NA,NA,NA,NA,NA
"299","Dectin-1 mediated noncanonical NF-kB signaling","R-HSA-5607679","R-HSA-5607761","R-HSA-168256","Immune System","Homo sapiens (Human)"
"300","Dectin-2 family","R-HSA-210223","R-HSA-5621480","R-HSA-168256","Immune System","Homo sapiens (Human)"
"301","Defective B3GALT6 causes EDSP2 and SEMDJL1",NA,NA,NA,NA,NA
"302","Defective B3GALTL causes PpS",NA,NA,NA,NA,NA
"303","Defective B3GAT3 causes JDSSDHD","R-HSA-9638067","R-HSA-3560801","R-HSA-1643685","Disease","Homo sapiens (Human)"
"304","Defective B4GALT7 causes EDS, progeroid type",NA,NA,NA,NA,NA
"305","Defective binding of RB1 mutants to E2F1,(E2F2, E2F3)","R-HSA-188362","R-HSA-9661069","R-HSA-1643685","Disease","Homo sapiens (Human)"
"306","Defective C1GALT1C1 causes TNPS","R-HSA-9631916","R-HSA-5083632","R-HSA-1643685","Disease","Homo sapiens (Human)"
"307","Defective CFTR causes cystic fibrosis","R-HSA-5362364","R-HSA-5678895","R-HSA-1643685","Disease","Homo sapiens (Human)"
"308","Defective EXT1 causes exostoses 1, TRPS2 and CHDS","R-HSA-9036279","R-HSA-3656253","R-HSA-1643685","Disease","Homo sapiens (Human)"
"309","Defective EXT2 causes exostoses 2","R-HSA-9036278","R-HSA-3656237","R-HSA-1643685","Disease","Homo sapiens (Human)"
"310","Defective GALNT12 causes CRCS1",NA,NA,NA,NA,NA
"311","Defective GALNT3 causes HFTC",NA,NA,NA,NA,NA
"312","Defective HDR through Homologous Recombination (HRR) due to BRCA1 loss-of-function",NA,NA,NA,NA,NA
"313","Defective HDR through Homologous Recombination (HRR) due to PALB2 loss of function",NA,NA,NA,NA,NA
"314","Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA1 binding function","R-HSA-5682166","R-HSA-9704331","R-HSA-1643685","Disease","Homo sapiens (Human)"
"315","Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA2/RAD51/RAD51C binding function","R-HSA-5682166","R-HSA-9704646","R-HSA-1643685","Disease","Homo sapiens (Human)"
"316","Defective homologous recombination repair (HRR) due to BRCA2 loss of function",NA,NA,NA,NA,NA
"317","Defective Intrinsic Pathway for Apoptosis",NA,NA,NA,NA,NA
"318","Defective pyroptosis","R-HSA-212285","R-HSA-9710421","R-HSA-1643685","Disease","Homo sapiens (Human)"
"319","Defective TPR may confer susceptibility towards thyroid papillary carcinoma (TPC)","R-HSA-157712","R-HSA-5619107","R-HSA-1643685","Disease","Homo sapiens (Human)"
"320","Defects in cobalamin (B12) metabolism",NA,NA,NA,NA,NA
"321","Defects in vitamin and cofactor metabolism",NA,NA,NA,NA,NA
"322","Defects of contact activation system (CAS) and kallikrein/kinin system (KKS)",NA,NA,NA,NA,NA
"323","Defensins","R-HSA-1471328","R-HSA-1461973","R-HSA-168256","Immune System","Homo sapiens (Human)"
"324","Degradation of AXIN","R-HSA-3640822","R-HSA-4641257","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"325","Degradation of beta-catenin by the destruction complex","R-HSA-195250","R-HSA-195253","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"326","Degradation of cysteine and homocysteine","R-HSA-1614609","R-HSA-1614558","R-HSA-1430728","Metabolism","Homo sapiens (Human)"
"327","Degradation of DVL","R-HSA-1504195","R-HSA-4641258","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"328","Degradation of GLI1 by the proteasome","R-HSA-206748","R-HSA-5610780","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"329","Degradation of GLI2 by the proteasome","R-HSA-206748","R-HSA-5610783","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"330","Degradation of the extracellular matrix","R-HSA-158255","R-HSA-1474228","R-HSA-1474244","Extracellular matrix organization","Homo sapiens (Human)"
"331","Depolymerisation of the Nuclear Lamina",NA,NA,NA,NA,NA
"332","Deposition of new CENPA-containing nucleosomes at the centromere","R-HSA-5633502","R-HSA-606279","R-HSA-1640170","Cell Cycle","Homo sapiens (Human)"
"333","Depurination",NA,NA,NA,NA,NA
"334","Depyrimidination",NA,NA,NA,NA,NA
"335","Deregulated CDK5 triggers multiple neurodegenerative pathways in Alzheimer's disease models","R-HSA-3828035","R-HSA-8862803","R-HSA-1643685","Disease","Homo sapiens (Human)"
"336","Dermatan sulfate biosynthesis",NA,NA,NA,NA,NA
"337","Detoxification of Reactive Oxygen Species","R-HSA-1222368","R-HSA-3299685","R-HSA-8953897","Cellular responses to stimuli","Homo sapiens (Human)"
"338","Deubiquitination",NA,NA,NA,NA,NA
"339","Developmental Biology",NA,NA,NA,"Developmental Biology",NA
"340","Digestion","R-HSA-8878786","R-HSA-8935690","R-HSA-8963743","Digestion and absorption","Homo sapiens (Human)"
"341","Digestion and absorption",NA,NA,NA,"Digestion and absorption",NA
"342","Digestion of dietary carbohydrate","R-HSA-189009","R-HSA-189085","R-HSA-8963743","Digestion and absorption","Homo sapiens (Human)"
"343","Dimerization of procaspase-8","R-HSA-140935","R-HSA-69416","R-HSA-5357801","Programmed Cell Death","Homo sapiens (Human)"
"344","Disassembly of the destruction complex and recruitment of AXIN to the membrane","R-HSA-1226052","R-HSA-4641262","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"345","Disease",NA,NA,NA,"Disease",NA
"346","Diseases associated with glycosaminoglycan metabolism",NA,NA,NA,NA,NA
"347","Diseases associated with glycosylation precursor biosynthesis",NA,NA,NA,NA,NA
"348","Diseases associated with N-glycosylation of proteins",NA,NA,NA,NA,NA
"349","Diseases associated with O-glycosylation of proteins",NA,NA,NA,NA,NA
"350","Diseases associated with the TLR signaling cascade",NA,NA,NA,NA,NA
"351","Diseases associated with visual transduction",NA,NA,NA,NA,NA
"352","Diseases of carbohydrate metabolism",NA,NA,NA,NA,NA
"353","Diseases of DNA Double-Strand Break Repair",NA,NA,NA,NA,NA
"354","Diseases of DNA repair",NA,NA,NA,NA,NA
"355","Diseases of glycosylation",NA,NA,NA,NA,NA
"356","Diseases of hemostasis",NA,NA,NA,NA,NA
"357","Diseases of Immune System",NA,NA,NA,NA,NA
"358","Diseases of metabolism",NA,NA,NA,NA,NA
"359","Diseases of mitotic cell cycle",NA,NA,NA,NA,NA
"360","Diseases of programmed cell death",NA,NA,NA,NA,NA
"361","Diseases of signal transduction by growth factor receptors and second messengers",NA,NA,NA,NA,NA
"362","Diseases of the neuronal system",NA,NA,NA,NA,NA
"363","Disorders of Developmental Biology",NA,NA,NA,NA,NA
"364","Disorders of Nervous System Development",NA,NA,NA,NA,NA
"365","Disorders of transmembrane transporters",NA,NA,NA,NA,NA
"366","Dissolution of Fibrin Clot","R-HSA-158703","R-HSA-75205","R-HSA-109582","Hemostasis","Homo sapiens (Human)"
"367","DNA Damage Bypass",NA,NA,NA,NA,NA
"368","DNA Damage Recognition in GG-NER","R-HSA-5649884","R-HSA-5696394","R-HSA-73894","DNA Repair","Homo sapiens (Human)"
"369","DNA Damage/Telomere Stress Induced Senescence","R-HSA-141608","R-HSA-2559586","R-HSA-8953897","Cellular responses to stimuli","Homo sapiens (Human)"
"370","DNA Double Strand Break Response",NA,NA,NA,NA,NA
"371","DNA Double-Strand Break Repair",NA,NA,NA,NA,NA
"372","DNA methylation","R-HSA-212159","R-HSA-5334118","R-HSA-74160","Gene expression (Transcription)","Homo sapiens (Human)"
"373","DNA Repair",NA,NA,NA,"DNA Repair",NA
"374","DNA Replication",NA,NA,NA,"DNA Replication",NA
"375","DNA Replication Pre-Initiation",NA,NA,NA,NA,NA
"376","DNA strand elongation",NA,NA,NA,NA,NA
"377","Dopamine Neurotransmitter Release Cycle","R-HSA-210374","R-HSA-212676","R-HSA-112316","Neuronal System","Homo sapiens (Human)"
"378","Downregulation of ERBB2 signaling","R-HSA-1221657","R-HSA-8863795","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"379","Downregulation of ERBB2:ERBB3 signaling","R-HSA-1248743","R-HSA-1358803","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"380","Downregulation of SMAD2/3:SMAD4 transcriptional activity","R-HSA-109844","R-HSA-2173795","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"381","Downregulation of SMAD2/3:SMAD4 transcriptional activity","R-HSA-109844","R-HSA-2173795","R-HSA-74160","Gene expression (Transcription)","Homo sapiens (Human)"
"382","Downregulation of TGF-beta receptor signaling","R-HSA-170841","R-HSA-2173788","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"383","Downstream signal transduction","R-HSA-109783","R-HSA-186763","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"384","Downstream signaling events of B Cell Receptor (BCR)",NA,NA,NA,NA,NA
"385","Downstream signaling of activated FGFR1","R-HSA-190203","R-HSA-5654687","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"386","Downstream signaling of activated FGFR2",NA,NA,NA,NA,NA
"387","Downstream signaling of activated FGFR3",NA,NA,NA,NA,NA
"388","Downstream signaling of activated FGFR4",NA,NA,NA,NA,NA
"389","Downstream TCR signaling","R-HSA-168113","R-HSA-202424","R-HSA-168256","Immune System","Homo sapiens (Human)"
"390","Drug ADME",NA,NA,NA,"Drug ADME",NA
"391","DSCAM interactions","R-HSA-376016","R-HSA-376172","R-HSA-1266738","Developmental Biology","Homo sapiens (Human)"
"392","Dual Incision in GG-NER","R-HSA-109943","R-HSA-5696400","R-HSA-73894","DNA Repair","Homo sapiens (Human)"
"393","Dual incision in TC-NER","R-HSA-109634","R-HSA-6782135","R-HSA-73894","DNA Repair","Homo sapiens (Human)"
"394","E2F mediated regulation of DNA replication",NA,NA,NA,NA,NA
"395","E3 ubiquitin ligases ubiquitinate target proteins","R-HSA-5643735","R-HSA-8866654","R-HSA-392499","Metabolism of proteins","Homo sapiens (Human)"
"396","Early Phase of HIV Life Cycle","R-HIV-173772","R-HSA-162594","R-HSA-1643685","Disease","Human Immunodeficiency Virus"
"397","Early Phase of HIV Life Cycle","R-HSA-173653","R-HSA-162594","R-HSA-1643685","Disease","Homo sapiens (Human)"
"398","Early SARS-CoV-2 Infection Events",NA,NA,NA,NA,NA
"399","ECM proteoglycans","R-HSA-114514","R-HSA-3000178","R-HSA-1474244","Extracellular matrix organization","Homo sapiens (Human)"
"400","Effects of PIP2 hydrolysis","R-HSA-139839","R-HSA-114508","R-HSA-109582","Hemostasis","Homo sapiens (Human)"
"401","Effects of PIP2 hydrolysis","R-HSA-139839","R-HSA-114508","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"402","EGFR downregulation","R-HSA-179860","R-HSA-182971","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
